Day,Capital,DailyPnL,PnLPercent,Trades
1,13.0000,0.0000,0.00,0
2,13.0000,0.0000,0.00,0
3,13.0000,0.0000,0.00,0
4,13.0000,0.0000,0.00,0
5,13.0000,0.0000,0.00,0
6,13.0000,0.0000,0.00,0
7,13.0000,0.0000,0.00,0
8,13.0000,0.0000,0.00,0
9,13.0000,0.0000,0.00,0
10,13.0000,0.0000,0.00,0
11,13.0000,0.0000,0.00,0
12,13.0000,0.0000,0.00,0
13,13.0000,0.0000,0.00,0
14,13.0000,0.0000,0.00,0
15,13.0000,0.0000,0.00,0
16,13.0000,0.0000,0.00,0
17,13.0000,0.0000,0.00,0
18,13.0000,0.0000,0.00,0
19,13.0000,0.0000,0.00,0
20,13.0000,0.0000,0.00,0
21,13.0000,0.0000,0.00,0
22,13.0000,0.0000,0.00,0
23,13.0000,0.0000,0.00,0
24,13.0000,0.0000,0.00,0
25,13.0000,0.0000,0.00,0
26,13.0000,0.0000,0.00,0
27,13.0000,0.0000,0.00,0
28,13.0000,0.0000,0.00,0
29,13.0000,0.0000,0.00,0
30,13.0000,0.0000,0.00,0
